lines,chars,functions,loops,conditionals,recursion,arrays,pointers,structs,globals,function_calls,complexity,nesting,malloc_usage,stdio_usage,comments,blank_lines,O0_time,O1_time,O2_time,O3_time,best_flag
39,986,2,3,4,0,27,11,0,0,9,11,4,1,1,0,6,0.0095310000,0.0099074300,0.0097944300,0.0098577600,O0
80,2002,2,3,9,0,0,14,0,0,56,19,3,0,1,0,10,0.0104784700,0.0099596700,0.0101198600,0.0102609500,O1
19,335,2,1,1,0,6,2,0,0,5,3,2,1,1,0,2,0.0099257200,0.0095068300,0.0099913000,0.0099467875,O1
78,1813,4,6,4,0,14,8,0,0,9,11,3,0,1,12,10,0.0096715500,0.0098907125,0.0099295600,0.0095292250,O3
39,856,2,3,3,0,11,1,0,0,5,9,3,0,1,0,5,0.0097001400,0.0095500200,0.0098898800,0.0097824600,O1
44,1320,2,1,5,0,12,0,0,0,4,9,4,0,1,11,3,0.0100963200,0.0102169900,0.0095947900,0.0097152700,O2
69,1126,2,3,2,0,0,8,10,0,8,6,3,1,1,0,15,0.0104061500,0.0099467800,0.0118667250,0.0107822125,O1
74,1387,2,2,2,0,0,13,15,0,10,5,3,1,1,0,12,0.0099407600,0.0103759400,0.0102017300,0.0106458125,O0
34,629,2,2,0,0,2,9,0,0,7,3,2,1,1,4,7,0.0099565100,0.0098640375,0.0097623500,0.0100263800,O2
94,1761,2,7,1,0,0,15,14,0,14,9,2,1,1,3,14,0.0094927300,0.0099491375,0.0096572000,0.0099051500,O0
101,2068,5,2,5,0,2,24,24,0,15,10,3,1,1,1,15,0.0100668300,0.0096845200,0.0099492875,0.0099354000,O1
29,598,2,2,1,0,7,3,0,0,5,4,3,1,1,7,4,0.0099913167,0.0100142250,0.0097350000,0.0100483400,O2
28,944,1,0,1,0,0,3,0,0,10,2,2,0,1,4,3,0.0100220300,0.0096962500,0.0101406400,0.0100450800,O1
24,499,1,1,1,0,0,1,0,0,7,3,2,0,1,3,0,0.0095344167,0.0099499500,0.0101035200,0.0099849100,O0
21,767,1,0,0,0,0,1,0,0,8,1,1,0,1,1,3,0.0094714500,0.0097016100,0.0099688167,0.0099387800,O0
46,1166,2,0,3,1,6,0,0,0,9,5,2,0,1,18,6,0.0098081375,0.0094783750,0.0100640200,0.0097745500,O1
11,150,1,0,0,0,0,0,0,0,2,1,1,0,1,1,2,0.0101811900,0.0122842500,0.0100519400,0.0103537600,O2
21,366,1,0,1,0,0,0,0,0,5,2,1,0,1,2,7,0.0100131200,0.0096288500,0.0100848000,0.0099654600,O1
36,632,1,4,1,0,9,0,0,0,7,6,4,0,1,2,9,0.0097770600,0.0097878250,0.0095393000,0.0102816800,O2
19,512,0,0,0,0,0,2,0,0,8,1,1,0,1,0,3,0.0102982500,0.0098630800,0.0099120000,0.0097629500,O3
13,222,1,0,0,0,0,0,0,0,4,1,1,0,1,1,2,0.0098794900,0.0099682000,0.0095906000,0.0099356100,O2
39,693,1,2,0,0,0,2,0,0,11,3,2,0,1,3,8,0.0099500750,0.0106493400,0.0125516500,0.0118008600,O0
17,424,1,0,2,0,0,0,0,0,6,7,1,0,1,1,3,0.0113275600,0.0114032300,0.0108220900,0.0116371800,O2
36,651,1,7,2,0,15,0,0,0,6,10,4,0,1,0,0,0.0104155900,0.0100876400,0.0097872375,0.0101295600,O2
44,947,2,0,2,1,0,0,0,0,12,3,3,0,1,7,9,0.0097680500,0.0099552500,0.0098830500,0.0098805400,O0
45,930,2,2,3,0,0,1,0,0,10,6,3,0,1,6,8,0.0100596100,0.0100677900,0.0098752700,0.0100529500,O2
83,1864,3,3,6,0,24,8,0,0,22,18,3,0,1,0,3,0.0098676900,0.0096767600,0.0100484700,0.0102039900,O1
13,174,1,0,0,0,0,0,0,0,2,1,1,0,1,1,3,0.0101528125,0.0111804100,0.0097106125,0.0098561900,O2
67,1209,1,2,4,0,12,0,0,0,5,8,5,0,1,31,9,0.0097792250,0.0103022125,0.0113220125,0.0099190125,O0
25,784,1,1,1,0,0,0,0,0,4,4,3,0,1,5,2,0.0097185375,0.0100101400,0.0099778000,0.0102328900,O0
25,586,1,5,0,0,6,3,0,0,3,6,1,1,1,4,6,0.0100169500,0.0100908000,0.0099087000,0.0101403200,O2
22,486,1,4,0,0,0,8,0,0,3,5,1,1,1,2,5,0.0151857900,0.0120629500,0.0116393700,0.0124617625,O2
28,779,1,0,4,0,0,3,0,0,8,8,1,0,1,2,5,0.0119937250,0.0129305100,0.0125105750,0.0121800900,O0
33,846,2,1,0,0,7,0,0,0,9,2,2,0,1,0,10,0.0134213700,0.0126808100,0.0119789100,0.0121893200,O2
75,1076,1,3,4,0,9,0,0,0,13,16,4,0,1,0,10,0.0121913250,0.0115063500,0.0112796000,0.0109899000,O3
26,651,1,1,1,0,0,1,0,0,5,3,3,0,1,4,4,0.0114159100,0.0102862300,0.0109301300,0.0099477875,O3
15,328,1,0,0,0,0,0,0,0,4,1,1,0,1,4,2,0.0098678600,0.0096432200,0.0097867125,0.0098886625,O1
17,201,1,1,0,0,0,0,0,0,4,2,2,0,1,0,3,0.0099888700,0.0097721400,0.0096419600,0.0097971700,O2
